Lifter Name;Age;Weight Class;Lift Type;Amount Lifted (kg)
Chris Brown;57;52 kg;Deadlift;286
Sarah Thomas;54;105 kg;Deadlift;227
Jane Smith;63;Open;Deadlift;135
Daniel Lee;34;52 kg;Deadlift;241
Daniel Lee;43;83 kg;Deadlift;257
Michael Johnson;60;52 kg;Deadlift;290
Jessica Wilson;54;74 kg;Deadlift;164
Michael Johnson;25;120 kg;Deadlift;332
Michael Johnson;56;83 kg;Deadlift;395
Jessica Wilson;51;Open;Deadlift;279
Michael Johnson;25;Open;Deadlift;123
Daniel Lee;49;52 kg;Deadlift;373
John Doe;57;120 kg;Deadlift;223
Jane Smith;57;59 kg;Deadlift;155
John Doe;20;83 kg;Deadlift;271
Emily Davis;21;83 kg;Deadlift;226
Jessica Wilson;44;Open;Deadlift;106
Daniel Lee;61;93 kg;Deadlift;113
John Doe;37;74 kg;Deadlift;227
Emily Davis;39;93 kg;Deadlift;277
John Doe;42;93 kg;Deadlift;158
John Doe;48;120 kg;Deadlift;238
Chris Brown;42;66 kg;Deadlift;350
Matthew Anderson;22;83 kg;Deadlift;113
Sarah Thomas;23;52 kg;Deadlift;129
Daniel Lee;40;120 kg;Deadlift;153
John Doe;30;93 kg;Deadlift;327
Chris Brown;57;52 kg;Deadlift;159
Laura Taylor;48;66 kg;Deadlift;250
Laura Taylor;38;66 kg;Deadlift;351
Daniel Lee;28;93 kg;Deadlift;376
Michael Johnson;29;93 kg;Deadlift;146
Laura Taylor;39;66 kg;Deadlift;175
Laura Taylor;24;93 kg;Deadlift;146
Michael Johnson;19;93 kg;Deadlift;235
Jessica Wilson;54;52 kg;Deadlift;152
John Doe;64;52 kg;Deadlift;395
Chris Brown;21;105 kg;Deadlift;166
Chris Brown;40;120 kg;Deadlift;369
Emily Davis;55;66 kg;Deadlift;363
Matthew Anderson;55;105 kg;Deadlift;250
Jessica Wilson;51;Open;Deadlift;200
Laura Taylor;42;93 kg;Deadlift;265
Sarah Thomas;37;Open;Deadlift;292
Jane Smith;18;83 kg;Deadlift;322
John Doe;35;105 kg;Deadlift;314
Daniel Lee;38;83 kg;Deadlift;257
Jane Smith;30;66 kg;Deadlift;159
Laura Taylor;62;93 kg;Deadlift;339
Laura Taylor;55;74 kg;Deadlift;336
John Doe;63;Open;Deadlift;290
Michael Johnson;25;105 kg;Deadlift;360
Jessica Wilson;41;93 kg;Deadlift;131
Michael Johnson;38;83 kg;Deadlift;191
Daniel Lee;27;Open;Deadlift;306
Jane Smith;43;66 kg;Deadlift;154
Jessica Wilson;18;59 kg;Deadlift;385
Daniel Lee;37;66 kg;Deadlift;118
Emily Davis;27;59 kg;Deadlift;390
Matthew Anderson;20;74 kg;Deadlift;203
Chris Brown;41;52 kg;Deadlift;292
Laura Taylor;34;74 kg;Deadlift;189
Chris Brown;35;59 kg;Deadlift;255
Michael Johnson;55;93 kg;Deadlift;107
Emily Davis;59;Open;Deadlift;270
Emily Davis;56;59 kg;Deadlift;392
Jane Smith;24;120 kg;Deadlift;389
Chris Brown;23;52 kg;Deadlift;234
Sarah Thomas;29;59 kg;Deadlift;334
Chris Brown;41;93 kg;Deadlift;320
Chris Brown;27;59 kg;Deadlift;226
Sarah Thomas;29;59 kg;Deadlift;167
Jane Smith;25;74 kg;Deadlift;292
Daniel Lee;40;52 kg;Deadlift;100
Emily Davis;47;66 kg;Deadlift;188
Laura Taylor;20;93 kg;Deadlift;155
Jessica Wilson;42;83 kg;Deadlift;134
Laura Taylor;20;120 kg;Deadlift;278
Emily Davis;21;83 kg;Deadlift;178
Laura Taylor;18;66 kg;Deadlift;387
Sarah Thomas;30;105 kg;Deadlift;366
Emily Davis;33;83 kg;Deadlift;385
Emily Davis;47;59 kg;Deadlift;300
Matthew Anderson;63;120 kg;Deadlift;380
Chris Brown;51;52 kg;Deadlift;382
Emily Davis;56;Open;Deadlift;178
Sarah Thomas;38;59 kg;Deadlift;394
Michael Johnson;20;83 kg;Deadlift;354
Sarah Thomas;28;Open;Deadlift;289
Michael Johnson;39;83 kg;Deadlift;100
Emily Davis;20;52 kg;Deadlift;138
Sarah Thomas;27;59 kg;Deadlift;385
Michael Johnson;22;93 kg;Deadlift;116
Jane Smith;34;93 kg;Deadlift;237
Jane Smith;58;120 kg;Deadlift;178
Daniel Lee;50;120 kg;Deadlift;227
Emily Davis;46;Open;Deadlift;110
Chris Brown;22;74 kg;Deadlift;303
John Doe;20;59 kg;Deadlift;256
Jessica Wilson;43;66 kg;Deadlift;280
Chris Brown;20;105 kg;Deadlift;144
Sarah Thomas;29;93 kg;Deadlift;279
Emily Davis;53;93 kg;Deadlift;288
John Doe;24;66 kg;Deadlift;205
John Doe;49;59 kg;Deadlift;272
Michael Johnson;28;59 kg;Deadlift;161
John Doe;26;120 kg;Deadlift;217
Michael Johnson;55;52 kg;Deadlift;330
Michael Johnson;50;74 kg;Deadlift;286
Chris Brown;55;93 kg;Deadlift;216
Jessica Wilson;37;74 kg;Deadlift;224
Laura Taylor;27;93 kg;Deadlift;100
Sarah Thomas;21;52 kg;Deadlift;351
John Doe;23;52 kg;Deadlift;205
John Doe;36;93 kg;Deadlift;142
Michael Johnson;63;83 kg;Deadlift;361
Jane Smith;29;66 kg;Deadlift;274
Chris Brown;18;120 kg;Deadlift;271
Daniel Lee;56;120 kg;Deadlift;115
Daniel Lee;35;74 kg;Deadlift;180
Matthew Anderson;36;52 kg;Deadlift;238
Daniel Lee;24;93 kg;Deadlift;234
Emily Davis;25;93 kg;Deadlift;150
Sarah Thomas;63;Open;Deadlift;240
Sarah Thomas;29;59 kg;Deadlift;227
Laura Taylor;22;105 kg;Deadlift;390
John Doe;24;120 kg;Deadlift;398
Jane Smith;58;74 kg;Deadlift;210
Daniel Lee;34;83 kg;Deadlift;372
Emily Davis;54;105 kg;Deadlift;292
Laura Taylor;39;59 kg;Deadlift;351
Jane Smith;39;74 kg;Deadlift;297
Matthew Anderson;28;59 kg;Deadlift;184
Jane Smith;24;83 kg;Deadlift;102
Jane Smith;44;83 kg;Deadlift;193
Emily Davis;60;74 kg;Deadlift;275
Sarah Thomas;63;Open;Deadlift;270
Laura Taylor;38;105 kg;Deadlift;268
Jane Smith;19;74 kg;Deadlift;289
Jessica Wilson;31;74 kg;Deadlift;196
Laura Taylor;51;Open;Deadlift;381
Matthew Anderson;51;105 kg;Deadlift;255
Jane Smith;26;74 kg;Deadlift;168
Matthew Anderson;18;83 kg;Deadlift;252
John Doe;34;52 kg;Deadlift;202
Chris Brown;41;120 kg;Deadlift;232
Michael Johnson;55;66 kg;Deadlift;200
Sarah Thomas;38;52 kg;Deadlift;330
Laura Taylor;18;93 kg;Deadlift;257
Chris Brown;42;83 kg;Deadlift;251
Jessica Wilson;52;74 kg;Deadlift;218
Emily Davis;39;59 kg;Deadlift;138
John Doe;41;52 kg;Deadlift;228
Jane Smith;23;Open;Deadlift;213
Michael Johnson;39;120 kg;Deadlift;342
Jane Smith;24;52 kg;Deadlift;282
John Doe;37;83 kg;Deadlift;100
Daniel Lee;28;93 kg;Deadlift;176
Michael Johnson;62;59 kg;Deadlift;387
Daniel Lee;23;120 kg;Deadlift;278
Emily Davis;57;74 kg;Deadlift;137
Matthew Anderson;44;59 kg;Deadlift;208
Jane Smith;44;105 kg;Deadlift;215
Emily Davis;64;120 kg;Deadlift;228
Jane Smith;34;105 kg;Deadlift;288
Jessica Wilson;19;Open;Deadlift;207
Emily Davis;37;105 kg;Deadlift;126
Daniel Lee;32;52 kg;Deadlift;328
Chris Brown;27;59 kg;Deadlift;205
John Doe;63;59 kg;Deadlift;199
Chris Brown;43;93 kg;Deadlift;249
Michael Johnson;31;83 kg;Deadlift;154
Emily Davis;61;59 kg;Deadlift;249
Chris Brown;26;120 kg;Deadlift;184
Laura Taylor;56;83 kg;Deadlift;215
Emily Davis;46;83 kg;Deadlift;332
Chris Brown;26;59 kg;Deadlift;370
John Doe;61;93 kg;Deadlift;302
Michael Johnson;20;105 kg;Deadlift;371
Jane Smith;33;120 kg;Deadlift;251
Laura Taylor;60;105 kg;Deadlift;282
Sarah Thomas;42;74 kg;Deadlift;396
Michael Johnson;23;66 kg;Deadlift;223
Jessica Wilson;32;66 kg;Deadlift;124
Michael Johnson;29;59 kg;Deadlift;127
Matthew Anderson;30;105 kg;Deadlift;240
Laura Taylor;18;120 kg;Deadlift;314
Matthew Anderson;22;66 kg;Deadlift;103
Michael Johnson;54;52 kg;Deadlift;338
Chris Brown;21;83 kg;Deadlift;279
Jane Smith;48;Open;Deadlift;350
Matthew Anderson;63;83 kg;Deadlift;165
Laura Taylor;63;105 kg;Deadlift;318
Matthew Anderson;51;52 kg;Deadlift;155
Laura Taylor;52;120 kg;Deadlift;295
Matthew Anderson;53;66 kg;Deadlift;227
John Doe;36;105 kg;Deadlift;181
Chris Brown;58;93 kg;Deadlift;267
Chris Brown;60;59 kg;Deadlift;286
Chris Brown;45;120 kg;Deadlift;288
Laura Taylor;46;52 kg;Deadlift;272
Emily Davis;24;105 kg;Deadlift;101
Laura Taylor;32;52 kg;Deadlift;350
Sarah Thomas;25;93 kg;Deadlift;159
Jane Smith;19;83 kg;Deadlift;100
Chris Brown;45;Open;Deadlift;265
Emily Davis;42;120 kg;Deadlift;243
Sarah Thomas;27;59 kg;Deadlift;117
Jessica Wilson;22;59 kg;Deadlift;123
Jane Smith;42;52 kg;Deadlift;299
Jane Smith;55;52 kg;Deadlift;281
Chris Brown;52;52 kg;Deadlift;115
Michael Johnson;51;Open;Deadlift;147
Chris Brown;25;66 kg;Deadlift;221
John Doe;30;66 kg;Deadlift;319
Sarah Thomas;64;52 kg;Deadlift;335
Emily Davis;47;Open;Deadlift;358
Matthew Anderson;30;105 kg;Deadlift;111
Chris Brown;19;66 kg;Deadlift;302
Chris Brown;35;74 kg;Deadlift;207
John Doe;61;66 kg;Deadlift;307
Michael Johnson;27;Open;Deadlift;303
Michael Johnson;54;52 kg;Deadlift;164
Jessica Wilson;30;120 kg;Deadlift;135
Matthew Anderson;64;105 kg;Deadlift;190
Laura Taylor;52;59 kg;Deadlift;154
John Doe;64;52 kg;Deadlift;335
Daniel Lee;32;93 kg;Deadlift;170
Jessica Wilson;22;105 kg;Deadlift;266
John Doe;63;74 kg;Deadlift;381
Jane Smith;44;105 kg;Deadlift;269
Chris Brown;61;83 kg;Deadlift;394
Jessica Wilson;62;52 kg;Deadlift;319
Michael Johnson;54;59 kg;Deadlift;281
Michael Johnson;28;120 kg;Deadlift;338
John Doe;33;93 kg;Deadlift;230
Laura Taylor;52;74 kg;Deadlift;187
Sarah Thomas;35;52 kg;Deadlift;302
John Doe;42;120 kg;Deadlift;189
Emily Davis;20;105 kg;Deadlift;260
Jessica Wilson;64;93 kg;Deadlift;113
Chris Brown;58;Open;Deadlift;386
Chris Brown;57;74 kg;Deadlift;131
Matthew Anderson;61;93 kg;Deadlift;101
Matthew Anderson;22;74 kg;Deadlift;305
John Doe;60;Open;Deadlift;100
Jane Smith;20;120 kg;Deadlift;356
Jane Smith;57;52 kg;Deadlift;110
Sarah Thomas;25;59 kg;Deadlift;348
Chris Brown;49;93 kg;Deadlift;111
Emily Davis;45;93 kg;Deadlift;163
John Doe;42;Open;Deadlift;210
John Doe;26;120 kg;Deadlift;375
Jessica Wilson;52;52 kg;Deadlift;214
Jessica Wilson;63;120 kg;Deadlift;322
Emily Davis;36;66 kg;Deadlift;192
Emily Davis;40;74 kg;Deadlift;213
Michael Johnson;38;83 kg;Deadlift;272
Laura Taylor;23;83 kg;Deadlift;118
Laura Taylor;31;93 kg;Deadlift;300
John Doe;58;52 kg;Deadlift;104
Jessica Wilson;26;52 kg;Deadlift;394
John Doe;49;74 kg;Deadlift;245
Emily Davis;37;Open;Deadlift;346
Matthew Anderson;49;105 kg;Deadlift;218
Daniel Lee;33;120 kg;Deadlift;236
Daniel Lee;22;74 kg;Deadlift;119
Chris Brown;53;83 kg;Deadlift;244
Laura Taylor;35;120 kg;Deadlift;366
Sarah Thomas;43;66 kg;Deadlift;257
John Doe;18;83 kg;Deadlift;267
Michael Johnson;53;105 kg;Deadlift;234
Daniel Lee;59;83 kg;Deadlift;206
Sarah Thomas;58;66 kg;Deadlift;106
Jessica Wilson;37;120 kg;Deadlift;141
Emily Davis;53;74 kg;Deadlift;305
Laura Taylor;47;52 kg;Deadlift;328
Matthew Anderson;60;120 kg;Deadlift;266
Daniel Lee;29;59 kg;Deadlift;398
Jane Smith;29;120 kg;Deadlift;363
Daniel Lee;18;83 kg;Deadlift;365
Laura Taylor;23;Open;Deadlift;357
Jane Smith;56;120 kg;Deadlift;210
Jessica Wilson;31;105 kg;Deadlift;144
John Doe;42;59 kg;Deadlift;250
Michael Johnson;44;93 kg;Deadlift;359
Daniel Lee;23;93 kg;Deadlift;153
Sarah Thomas;38;74 kg;Deadlift;196
Emily Davis;45;105 kg;Deadlift;364
Emily Davis;63;105 kg;Deadlift;291
Sarah Thomas;45;93 kg;Deadlift;245
Emily Davis;27;Open;Deadlift;111
John Doe;43;93 kg;Deadlift;320
John Doe;32;105 kg;Deadlift;328
Daniel Lee;32;120 kg;Deadlift;289
Emily Davis;41;93 kg;Deadlift;261
Matthew Anderson;24;59 kg;Deadlift;106
Michael Johnson;18;66 kg;Deadlift;295
Jessica Wilson;49;105 kg;Deadlift;215
Sarah Thomas;33;120 kg;Deadlift;373
Matthew Anderson;61;74 kg;Deadlift;290
Chris Brown;36;Open;Deadlift;273
Michael Johnson;40;93 kg;Deadlift;287
Laura Taylor;25;83 kg;Deadlift;313
Jessica Wilson;37;83 kg;Deadlift;152
Sarah Thomas;32;Open;Deadlift;251
Sarah Thomas;24;74 kg;Deadlift;109
Matthew Anderson;29;93 kg;Deadlift;319
Laura Taylor;20;74 kg;Deadlift;155
Jessica Wilson;64;66 kg;Deadlift;103
Laura Taylor;61;52 kg;Deadlift;109
Jessica Wilson;63;93 kg;Deadlift;206
Daniel Lee;51;105 kg;Deadlift;231
Jessica Wilson;25;83 kg;Deadlift;332
Jane Smith;18;59 kg;Deadlift;249
Laura Taylor;49;105 kg;Deadlift;231
Jane Smith;24;Open;Deadlift;249
Matthew Anderson;60;83 kg;Deadlift;130
Michael Johnson;53;Open;Deadlift;278
Emily Davis;48;93 kg;Deadlift;103
Chris Brown;52;74 kg;Deadlift;253
Emily Davis;60;66 kg;Deadlift;149
Emily Davis;45;59 kg;Deadlift;214
Michael Johnson;21;120 kg;Deadlift;348
Matthew Anderson;42;105 kg;Deadlift;150
Matthew Anderson;31;93 kg;Deadlift;125
Jane Smith;62;59 kg;Deadlift;195
John Doe;35;83 kg;Deadlift;298
Chris Brown;24;83 kg;Deadlift;312
Sarah Thomas;26;74 kg;Deadlift;182
John Doe;62;93 kg;Deadlift;319
John Doe;43;105 kg;Deadlift;132
Daniel Lee;56;93 kg;Deadlift;265
Chris Brown;25;93 kg;Deadlift;165
John Doe;23;120 kg;Deadlift;269
Matthew Anderson;47;66 kg;Deadlift;347
Daniel Lee;47;105 kg;Deadlift;337
Jessica Wilson;64;93 kg;Deadlift;354
Michael Johnson;31;120 kg;Deadlift;352
Sarah Thomas;28;Open;Deadlift;141
Jessica Wilson;41;66 kg;Deadlift;259
Laura Taylor;45;59 kg;Deadlift;132
John Doe;44;93 kg;Deadlift;298
Daniel Lee;25;120 kg;Deadlift;316
Daniel Lee;28;52 kg;Deadlift;112
Daniel Lee;40;Open;Deadlift;364
Chris Brown;51;120 kg;Deadlift;330
Michael Johnson;36;66 kg;Deadlift;230
Michael Johnson;18;105 kg;Deadlift;390
Chris Brown;49;59 kg;Deadlift;134
Chris Brown;62;Open;Deadlift;103
Daniel Lee;39;66 kg;Deadlift;351
Daniel Lee;36;59 kg;Deadlift;392
John Doe;34;74 kg;Deadlift;286
Matthew Anderson;30;74 kg;Deadlift;185
Sarah Thomas;26;Open;Deadlift;370
Jessica Wilson;44;Open;Deadlift;114
Matthew Anderson;49;120 kg;Deadlift;198
Chris Brown;61;74 kg;Deadlift;154
Laura Taylor;46;Open;Deadlift;250
Jane Smith;54;59 kg;Deadlift;248
Emily Davis;48;83 kg;Deadlift;241
Michael Johnson;64;59 kg;Deadlift;134
Michael Johnson;36;Open;Deadlift;238
John Doe;47;Open;Deadlift;339
Emily Davis;39;74 kg;Deadlift;347
Sarah Thomas;43;83 kg;Deadlift;116
Jane Smith;40;74 kg;Deadlift;137
Emily Davis;36;83 kg;Deadlift;190
Matthew Anderson;61;59 kg;Deadlift;385
Jessica Wilson;55;105 kg;Deadlift;228
Emily Davis;27;59 kg;Deadlift;204
Emily Davis;18;59 kg;Deadlift;198
Sarah Thomas;30;66 kg;Deadlift;390
Jane Smith;33;120 kg;Deadlift;366
Laura Taylor;41;Open;Deadlift;154
Chris Brown;35;74 kg;Deadlift;109
Emily Davis;63;120 kg;Deadlift;342
Daniel Lee;50;83 kg;Deadlift;341
Chris Brown;45;120 kg;Deadlift;283
Michael Johnson;37;Open;Deadlift;175
Jessica Wilson;55;74 kg;Deadlift;133
Sarah Thomas;51;59 kg;Deadlift;399
Chris Brown;51;105 kg;Deadlift;143
Daniel Lee;51;74 kg;Deadlift;260
Matthew Anderson;52;105 kg;Deadlift;304
Jessica Wilson;33;83 kg;Deadlift;379
Daniel Lee;51;93 kg;Deadlift;198
Sarah Thomas;29;74 kg;Deadlift;241
Sarah Thomas;39;Open;Deadlift;149
Sarah Thomas;46;105 kg;Deadlift;182
Jessica Wilson;54;Open;Deadlift;304
Jane Smith;28;120 kg;Deadlift;313
Laura Taylor;47;93 kg;Deadlift;356
Jessica Wilson;61;120 kg;Deadlift;205
Laura Taylor;51;66 kg;Deadlift;160
Jane Smith;60;120 kg;Deadlift;354
Chris Brown;21;74 kg;Deadlift;348
Matthew Anderson;42;59 kg;Deadlift;244
Laura Taylor;43;83 kg;Deadlift;374
Laura Taylor;23;93 kg;Deadlift;243
Jessica Wilson;60;83 kg;Deadlift;301
Jane Smith;24;83 kg;Deadlift;220
Michael Johnson;51;83 kg;Deadlift;241
John Doe;35;74 kg;Deadlift;222
Jessica Wilson;52;66 kg;Deadlift;199
Jane Smith;24;105 kg;Deadlift;119
Daniel Lee;18;52 kg;Deadlift;360
Sarah Thomas;47;105 kg;Deadlift;393
Michael Johnson;40;59 kg;Deadlift;398
Emily Davis;29;66 kg;Deadlift;190
Chris Brown;20;93 kg;Deadlift;341
Matthew Anderson;30;93 kg;Deadlift;158
Jessica Wilson;59;120 kg;Deadlift;122
Michael Johnson;18;52 kg;Deadlift;216
Chris Brown;53;52 kg;Deadlift;238
Jane Smith;37;52 kg;Deadlift;328
Daniel Lee;40;83 kg;Deadlift;188
Laura Taylor;20;105 kg;Deadlift;174
Jane Smith;50;83 kg;Deadlift;333
Jessica Wilson;46;Open;Deadlift;157
Matthew Anderson;26;52 kg;Deadlift;185
Daniel Lee;40;120 kg;Deadlift;233
Matthew Anderson;41;83 kg;Deadlift;284
Emily Davis;44;83 kg;Deadlift;255
Chris Brown;29;120 kg;Deadlift;216
Jane Smith;43;Open;Deadlift;307
Chris Brown;23;59 kg;Deadlift;360
Matthew Anderson;64;83 kg;Deadlift;392
Sarah Thomas;64;120 kg;Deadlift;271
Emily Davis;49;52 kg;Deadlift;280
Jessica Wilson;28;59 kg;Deadlift;353
Daniel Lee;56;105 kg;Deadlift;206
Michael Johnson;31;59 kg;Deadlift;129
Matthew Anderson;24;120 kg;Deadlift;358
Jessica Wilson;20;83 kg;Deadlift;375
Daniel Lee;28;83 kg;Deadlift;334
Jane Smith;35;66 kg;Deadlift;173
Laura Taylor;53;83 kg;Deadlift;133
Chris Brown;35;83 kg;Deadlift;257
Michael Johnson;43;120 kg;Deadlift;282
Chris Brown;27;59 kg;Deadlift;238
John Doe;29;120 kg;Deadlift;317
Jessica Wilson;46;52 kg;Deadlift;256
Jessica Wilson;32;74 kg;Deadlift;161
Daniel Lee;40;93 kg;Deadlift;391
Sarah Thomas;63;120 kg;Deadlift;192
Laura Taylor;18;74 kg;Deadlift;100
Chris Brown;58;93 kg;Deadlift;390
Daniel Lee;49;74 kg;Deadlift;361
Laura Taylor;43;66 kg;Deadlift;142
Laura Taylor;46;105 kg;Deadlift;228
Jessica Wilson;42;66 kg;Deadlift;225
Sarah Thomas;64;52 kg;Deadlift;388
Jane Smith;51;83 kg;Deadlift;121
Laura Taylor;53;52 kg;Deadlift;327
Jessica Wilson;52;59 kg;Deadlift;103
Michael Johnson;57;83 kg;Deadlift;218
Daniel Lee;22;93 kg;Deadlift;255
Michael Johnson;27;59 kg;Deadlift;313
Jane Smith;47;52 kg;Deadlift;282
Laura Taylor;29;59 kg;Deadlift;193
Emily Davis;39;105 kg;Deadlift;233
Chris Brown;44;120 kg;Deadlift;118
Chris Brown;61;105 kg;Deadlift;202
Daniel Lee;36;74 kg;Deadlift;236
Daniel Lee;19;66 kg;Deadlift;350
Matthew Anderson;25;Open;Deadlift;389
Emily Davis;42;59 kg;Deadlift;167
Matthew Anderson;30;52 kg;Deadlift;306
John Doe;23;59 kg;Deadlift;234
Matthew Anderson;31;59 kg;Deadlift;255
Jessica Wilson;33;74 kg;Deadlift;193
Daniel Lee;49;66 kg;Deadlift;254
Jane Smith;54;83 kg;Deadlift;186
Jessica Wilson;53;93 kg;Deadlift;177
Matthew Anderson;40;120 kg;Deadlift;271
Chris Brown;30;66 kg;Deadlift;120
John Doe;43;74 kg;Deadlift;394
Jessica Wilson;58;52 kg;Deadlift;252
Laura Taylor;54;105 kg;Deadlift;293
Emily Davis;39;83 kg;Deadlift;215
Daniel Lee;39;52 kg;Deadlift;319
Michael Johnson;30;74 kg;Deadlift;137
Jessica Wilson;21;105 kg;Deadlift;132
Laura Taylor;45;93 kg;Deadlift;385
Emily Davis;42;83 kg;Deadlift;229
Laura Taylor;54;59 kg;Deadlift;190
Laura Taylor;26;52 kg;Deadlift;141
Laura Taylor;56;Open;Deadlift;233
John Doe;38;59 kg;Deadlift;123
John Doe;63;66 kg;Deadlift;324
Daniel Lee;43;105 kg;Deadlift;169
Chris Brown;43;93 kg;Deadlift;252
Daniel Lee;24;Open;Deadlift;248
Sarah Thomas;29;74 kg;Deadlift;308
Matthew Anderson;48;66 kg;Deadlift;328
Sarah Thomas;30;Open;Deadlift;128
Matthew Anderson;55;52 kg;Deadlift;304
Daniel Lee;23;120 kg;Deadlift;311
Daniel Lee;36;52 kg;Deadlift;268
Laura Taylor;51;83 kg;Deadlift;186
Jane Smith;27;93 kg;Deadlift;138
Chris Brown;43;52 kg;Deadlift;357
Chris Brown;35;Open;Deadlift;369
Sarah Thomas;56;Open;Deadlift;337
Matthew Anderson;26;74 kg;Deadlift;101
Laura Taylor;52;66 kg;Deadlift;393
John Doe;55;74 kg;Deadlift;328
Matthew Anderson;22;52 kg;Deadlift;396
Sarah Thomas;20;93 kg;Deadlift;339
Sarah Thomas;37;93 kg;Deadlift;157
Daniel Lee;33;120 kg;Deadlift;234
Emily Davis;58;66 kg;Deadlift;336
Chris Brown;54;83 kg;Deadlift;127
Jane Smith;46;59 kg;Deadlift;253
John Doe;62;105 kg;Deadlift;325
Emily Davis;53;74 kg;Deadlift;283
Daniel Lee;36;59 kg;Deadlift;266
Jessica Wilson;54;83 kg;Deadlift;205
Daniel Lee;31;59 kg;Deadlift;245
Jane Smith;58;52 kg;Deadlift;296
Michael Johnson;50;93 kg;Deadlift;284
Matthew Anderson;45;105 kg;Deadlift;311
Laura Taylor;61;83 kg;Deadlift;111
Michael Johnson;41;66 kg;Deadlift;265
Chris Brown;40;120 kg;Deadlift;373
Laura Taylor;38;120 kg;Deadlift;230
Jessica Wilson;42;52 kg;Deadlift;272
Jane Smith;60;120 kg;Deadlift;386
Daniel Lee;45;52 kg;Deadlift;216
Emily Davis;51;120 kg;Deadlift;261
Jane Smith;39;66 kg;Deadlift;271
Sarah Thomas;20;52 kg;Deadlift;124
Jessica Wilson;56;105 kg;Deadlift;341
Jane Smith;35;120 kg;Deadlift;115
Laura Taylor;27;59 kg;Deadlift;250
Laura Taylor;59;93 kg;Deadlift;180
Michael Johnson;22;93 kg;Deadlift;116
John Doe;21;93 kg;Deadlift;181
John Doe;42;74 kg;Deadlift;176
Laura Taylor;57;74 kg;Deadlift;282
Sarah Thomas;59;66 kg;Deadlift;134
Matthew Anderson;25;105 kg;Deadlift;370
Michael Johnson;29;83 kg;Deadlift;152
Jane Smith;49;66 kg;Deadlift;267
Sarah Thomas;18;66 kg;Deadlift;320
Michael Johnson;28;52 kg;Deadlift;289
Jane Smith;47;93 kg;Deadlift;267
John Doe;58;Open;Deadlift;162
Emily Davis;37;120 kg;Deadlift;243
Laura Taylor;55;52 kg;Deadlift;364
Michael Johnson;21;66 kg;Deadlift;182
John Doe;28;93 kg;Deadlift;322
Emily Davis;46;Open;Deadlift;357
Jane Smith;26;105 kg;Deadlift;136
Emily Davis;35;105 kg;Deadlift;113
Chris Brown;35;93 kg;Deadlift;263
Sarah Thomas;49;74 kg;Deadlift;371
Daniel Lee;40;83 kg;Deadlift;104
Matthew Anderson;53;105 kg;Deadlift;352
Michael Johnson;56;83 kg;Deadlift;134
Emily Davis;35;93 kg;Deadlift;261
Jane Smith;64;Open;Deadlift;193
Michael Johnson;56;66 kg;Deadlift;177
Laura Taylor;55;120 kg;Deadlift;138
Chris Brown;51;93 kg;Deadlift;237
Jessica Wilson;43;66 kg;Deadlift;289
Michael Johnson;23;66 kg;Deadlift;231
Sarah Thomas;48;83 kg;Deadlift;188
Daniel Lee;27;93 kg;Deadlift;111
Matthew Anderson;35;93 kg;Deadlift;221
John Doe;61;52 kg;Deadlift;215
Laura Taylor;46;52 kg;Deadlift;230
Matthew Anderson;51;Open;Deadlift;226
Jessica Wilson;51;66 kg;Deadlift;377
Daniel Lee;43;66 kg;Deadlift;180
Jane Smith;25;93 kg;Deadlift;315
Chris Brown;18;74 kg;Deadlift;313
Jessica Wilson;30;Open;Deadlift;339
John Doe;62;105 kg;Deadlift;263
Emily Davis;44;59 kg;Deadlift;153
Daniel Lee;36;59 kg;Deadlift;156
Sarah Thomas;24;120 kg;Deadlift;363
Daniel Lee;34;105 kg;Deadlift;207
Jane Smith;59;120 kg;Deadlift;305
Matthew Anderson;43;83 kg;Deadlift;200
Sarah Thomas;46;52 kg;Deadlift;278
Laura Taylor;52;120 kg;Deadlift;270
Sarah Thomas;50;59 kg;Deadlift;167
Jane Smith;55;66 kg;Deadlift;118
Laura Taylor;51;105 kg;Deadlift;284
Chris Brown;45;66 kg;Deadlift;337
Jessica Wilson;63;66 kg;Deadlift;314
Sarah Thomas;55;52 kg;Deadlift;317
Laura Taylor;27;105 kg;Deadlift;349
Matthew Anderson;18;59 kg;Deadlift;350
John Doe;58;74 kg;Deadlift;161
John Doe;26;93 kg;Deadlift;247
Jane Smith;61;105 kg;Deadlift;317
Matthew Anderson;49;59 kg;Deadlift;214
Matthew Anderson;32;Open;Deadlift;133
Laura Taylor;46;74 kg;Deadlift;288
Sarah Thomas;34;83 kg;Deadlift;367
Emily Davis;53;Open;Deadlift;271
Daniel Lee;42;83 kg;Deadlift;310
Laura Taylor;36;Open;Deadlift;244
Emily Davis;59;66 kg;Deadlift;173
John Doe;57;59 kg;Deadlift;253
Michael Johnson;42;105 kg;Deadlift;204
Jessica Wilson;30;Open;Deadlift;158
Chris Brown;27;83 kg;Deadlift;114
Emily Davis;42;52 kg;Deadlift;339
Laura Taylor;33;59 kg;Deadlift;391
Jane Smith;57;93 kg;Deadlift;193
Emily Davis;26;74 kg;Deadlift;305
Daniel Lee;18;66 kg;Deadlift;217
Chris Brown;28;120 kg;Deadlift;206
John Doe;63;120 kg;Deadlift;232
Chris Brown;21;66 kg;Deadlift;388
Jane Smith;61;52 kg;Deadlift;258
